model_id,n,token_f1_mean,token_f1_std,answer_similarity_mean,answer_similarity_std,reference_answer_nll_mean,reference_answer_nll_std,reference_answer_token_perplexity_mean,reference_answer_token_perplexity_std,reference_answer_token_perplexity_median,reference_answer_tokens_mean,reference_answer_tokens_std,total_inference_seconds,generation_inference_seconds,generation_tokens,generation_tokens_per_second,reference_logprob_inference_seconds,reference_logprob_examples_per_second,vram_peak_allocated_mb,vram_peak_reserved_mb
HuggingFaceTB/SmolLM2-1.7B-Instruct,128,0.3320843175133802,0.16465281692051864,0.8094397051127877,0.09257709825528063,1.2361435777559056,0.5582823660589717,4.336338309265696,5.6299825654651645,2.985448539365356,73.8203125,63.966580053033184,572.321804370999,540.0191633399986,18433,34.133973850099274,32.30264103100035,3.9625242987766964,4151.96142578125,7078.0
Qwen/Qwen3-4B-Instruct-2507,128,0.22997953192531334,0.14093016852081372,0.7977798496644328,0.08488315386237301,2.5824311023622046,1.2264964298966676,32.12325411384635,56.53004047237086,8.115290514356445,76.296875,65.6121219085207,1861.3089884420006,1782.1269220230006,45522,25.54363521332432,79.18206641899997,1.6165276531515984,7034.26513671875,15242.0
Qwen/Qwen2.5-3B-Instruct,128,0.2695928672573769,0.14243659594396593,0.7927046087313825,0.09485511913721087,1.3635734498031495,0.6447103357361614,5.3190428204448255,7.404816037823975,3.3305085165287003,76.296875,65.6121219085207,1319.4457679060015,1253.5765562290017,26882,21.44424276796162,65.86921167699984,1.9432447533707913,5072.10205078125,5762.0
HuggingFaceTB/SmolLM3-3B,128,0.27115160930013127,0.1585878070341386,0.7925459437482939,0.09669637441043914,1.2282234251968505,0.5802374490773571,4.323745425112629,4.792194534101094,2.9391634498681936,76.078125,65.5520000805996,1288.5116106429996,1211.922170238,30403,25.086594458478626,76.58944040499955,1.6712486646089206,5471.5654296875,9094.0
meta-llama/Llama-3.2-3B-Instruct,128,0.2581663539549791,0.1880992814765375,0.7896379307499082,0.09372352781174403,1.3394438976377954,0.5722304603996198,4.6690032553741165,4.004251711767994,3.2533573698397067,76.078125,65.5520000805996,1452.5015289680005,1381.4084489790002,39423,28.538264717533444,71.09307998900022,1.8004565285370198,4486.85302734375,6346.0
Qwen/Qwen3-1.7B,128,0.21772542694005925,0.13619402373819228,0.7726966370278456,0.08601610001348065,2.5863681102362204,1.169058001051781,35.956190223373035,98.19906119862644,8.638681785041102,76.296875,65.6121219085207,882.7213709849984,845.5454030539986,48742,57.64563301266889,37.17596793099983,3.4430845280901203,3913.37353515625,4728.0
Qwen/Qwen2.5-1.5B-Instruct,128,0.25240313438820045,0.15488870449763506,0.7724011777423498,0.10390075020931669,1.1330893208661417,0.48603480785344266,3.645343650085252,3.3536602900854433,2.7827440243535593,76.296875,65.6121219085207,691.1297109470006,657.784122262,27177,41.31598662877912,33.34558868500062,3.8385887023663927,2614.16259765625,6844.0
meta-llama/Llama-3.2-1B-Instruct,128,0.24074299308211686,0.1869782577277949,0.763484415194885,0.12357475073340135,1.443836122047244,0.564790115550531,5.148197302714852,4.244638446622254,3.6578480133721323,76.078125,65.5520000805996,567.5566329589997,540.0171236659999,40861,75.66611910860904,27.53950929299981,4.647867855529872,5010.03515625,9144.0
google/medgemma-1.5-4b-it,128,0.1931325423458477,0.13212018850984678,0.7456584624418123,0.09191162278718246,1.75246062992126,0.849503470346736,10.41766057709433,22.668781348669874,4.4816890703380645,71.4765625,62.85340585410332,1615.8478682679995,1541.5815889949997,57268,37.14886088989595,74.26627927299978,1.723527841343408,4846.21533203125,5964.0
google/gemma-3-4b-it,128,0.16409700558607512,0.12119474479247226,0.7436359240783481,0.0970858968553881,4.6778420275590555,2.552380072773167,7395.030557561136,38431.38976988607,44.5617113320772,71.4765625,62.85340585410332,1625.5850556749992,1550.6445523769999,65152,42.01607641166236,74.94050329799938,1.7080216220460998,4652.232421875,8058.0
google/gemma-3-1b-it,128,0.1489531362273413,0.10867482435716051,0.7171014742119106,0.10742739653735703,4.73394438976378,2.265632762688239,6023.325830960285,30488.56483461222,48.182698291098816,71.4765625,62.85340585410332,519.3051183729995,496.3982460999996,64819,130.57862413748776,22.906872272999863,5.587842743196003,1280.88525390625,2818.0
